"pair","type","cosine_similarity","prompt_similarity"
"paradise-father","unrelated",0.252617833419492,0.2
"spring-autumn","related",0.463682794462271,0.822
"fidelity-devotion","related",0.55920406193121,0.874
"bridge-tunnel","related",0.449608692614653,0.786
"excellent-band","unrelated",0.237818029869678,0.245
"embassy-ministry","related",0.418993989263789,0.742
"blanket-justice","unrelated",0.2104502374626,0.021
"stadium-baseball","related",0.366956026474593,0.75
"tattoo-minus","unrelated",0.178287058602845,0.025
"tobacco-cigarette","related",0.621064200776838,0.9
"train-triangle","unrelated",0.37663933526493,0.072
"lower-dusty","unrelated",0.241989211662734,0.1
"reality-tree","unrelated",0.257328636297735,0.1
"unreasonable-irresponsible","related",0.46943612778012,0.756
"millionaire-element","unrelated",0.226100462100103,0.112
"worm-snake","related",0.554934304280482,0.774
"double-triple","related",0.560399653398479,0.823
"article-newspaper","related",0.462984379446258,0.872
"wind-storm","related",0.54222826998574,0.874
"tablet-fuel","unrelated",0.289113954287798,0.125
"sunset-thank","unrelated",0.296701504597269,0.112
"queen-soda","unrelated",0.181347082754232,0.05
"detonator-timer","related",0.35943523514593,0.785
"make-servant","unrelated",0.270821170451541,0.2
"object-comedy","unrelated",0.292885758406315,0.215
"direct-jewel","unrelated",0.209178061407864,0.123
"modern-plate","unrelated",0.236631398569943,0.25
"heritage-july","unrelated",0.182924396232278,0.215
"auction-theory","unrelated",0.266949142719766,0.15
"conclusion-assumption","related",0.426717574169354,0.623
"conversation-forest","unrelated",0.330305990350037,0.105
"singer-musician","related",0.653420401325092,0.876
"nice-judge","unrelated",0.273005047991405,0.345
"angel-baseball","unrelated",0.205801754218332,0.045
"stress-cat","unrelated",0.231048424526107,0.123
"impressive-murder","unrelated",0.207994961168656,0.045
"inability-missile","unrelated",0.182365279516382,0.01
"low-confess","unrelated",0.205136442398103,0.1
"bay-loan","unrelated",0.279035241450895,0.15
"pork-departure","unrelated",0.228701403811181,0.05
"cable-confusion","unrelated",0.190216887942042,0.12
"ass-official","unrelated",0.370577038441451,0.065
"dvd-that","unrelated",0.265579921830113,0.1
"brutal-cruel","related",0.627118739787005,0.862
"protect-defend","related",0.595991202965775,0.825
"sensational-maintain","unrelated",0.10023867458929,0.123
"allow-let","related",0.599634746554142,0.85
"midnight-send","unrelated",0.220832285098508,0.11
"hunting-collapse","unrelated",0.27552860960063,0.12
"circle-lovely","unrelated",0.328496568525706,0.105
"monk-elegant","unrelated",0.238673457564788,0.125
"quantity-quality","related",0.501219217834073,0.743
"prey-ugly","unrelated",0.227972841408516,0.1
"hobby-sport","related",0.479035005215665,0.725
"underestimate-microphone","unrelated",0.184993088715849,0.05
"urgent-emergency","related",0.672963499500706,0.842
"command-order","related",0.620750078388949,0.865
"original-copy","related",0.423115403091694,0.822
"clan-family","related",0.457388941537351,0.845
"diamond-jewel","related",0.535569110696178,0.875
"property-owner","related",0.515954316951995,0.862
"scare-weak","unrelated",0.315452451289913,0.2
"medical-psychological","related",0.36174006794181,0.753
"avenue-street","related",0.50523645139997,0.9
"grateful-thank","related",0.513049007313133,0.85
"impossible-easy","related",0.406998348642603,0.1
"clean-wash","related",0.578078132440083,0.845
"trust-believe","related",0.493105089090328,0.735
"unusual-strange","related",0.722896638150382,0.874
"loyalty-honesty","related",0.493737936504752,0.754
"producer-director","related",0.652925358949108,0.827
"anonymous-unknown","related",0.648138280939177,0.754
"lipstick-concentrate","unrelated",0.187565305666451,0.115
"good-completely","unrelated",0.291592332615735,0.112
"royal-price","unrelated",0.294375936197187,0.432
"tired-hungry","related",0.482957506121771,0.687
"similar-different","related",0.652089203327798,0.537
"spy-traitor","related",0.416662896644608,0.742
"grab-science","unrelated",0.222305579248051,0.114
"make-do","related",0.571449144886223,0.735
"drown-wizard","unrelated",0.17602329333363,0.045
"tournament-pull","unrelated",0.311460730504703,0.122
"bee-remove","unrelated",0.228184142110024,0.045
"credit-funeral","unrelated",0.180188922446856,0.12
"mile-centimeter","related",0.389232263786024,0.845
"internal-external","related",0.748013808942564,0.763
"nerve-silver","unrelated",0.175081237383493,0.124
"rum-far","unrelated",0.361453309060219,0.1
"autograph-photographer","related",0.294698438217436,0.654
"unusual-kill","unrelated",0.308460600857914,0.125
"monument-statue","related",0.702730956271538,0.85
"contain-content","related",0.525493633811154,0.753
"wrong-event","unrelated",0.368441554256936,0.32
"white-driver","unrelated",0.285940904121348,0.234
"sensor-crisis","unrelated",0.222297820827486,0.205
"dramatic-romantic","related",0.463616688308196,0.754
"conference-meeting","related",0.775195786762225,0.843
"enable-provide","related",0.603672315969774,0.756
"generator-execution","unrelated",0.395246853848613,0.2
"relative-cousin","related",0.485799420066059,0.875
"passenger-sound","unrelated",0.238498597716594,0.12
"pork-meat","related",0.497340700424583,0.857
"apply-use","related",0.611597173290163,0.752
"deserve-worthy","related",0.478484742608479,0.742
"polite-escape","unrelated",0.247910156436568,0.102
"regional-local","related",0.552949502814926,0.765
"trophy-abduct","unrelated",0.203288910390752,0
"chance-dynamite","unrelated",0.26731804257391,0.215
"tear-cut","related",0.390941166892196,0.578
"tower-building","related",0.49166199808998,0.895
"revenge-cotton","unrelated",0.109734436663554,0.002
"eliminate-worker","unrelated",0.224250682193241,0.257
"drama-comedy","related",0.613059008641992,0.845
"ideal-song","unrelated",0.218879966147547,0.245
"orchestra-band","related",0.426638365810837,0.829
"pulse-pressure","related",0.613611426836025,0.753
"carnival-worthy","unrelated",0.26919924935621,0.128
"virus-infection","related",0.53377617387818,0.872
"comfortable-horse","unrelated",0.240098748612479,0.12
"potato-guilty","unrelated",0.23979408153812,0.1
"regional-cake","unrelated",0.141581441690023,0.125
"orphanage-cause","unrelated",0.233899569693341,0.275
"illusion-additional","unrelated",0.25615007755643,0.11
"observation-throne","unrelated",0.283479341590585,0.12
"country-description","unrelated",0.311882891568376,0.275
"play-fax","unrelated",0.239632980688698,0.15
"sea-episode","unrelated",0.346137716316267,0.107
"donkey-horse","related",0.545511632588201,0.857
"hanging-execution","related",0.332083709873389,0.875
"innocent-express","unrelated",0.220936405099328,0.125
"spoon-intention","unrelated",0.237630772824598,0.05
"one-three","related",0.612569569028531,0.215
"hurricane-disturb","unrelated",0.32928203194019,0.125
"buy-meeting","unrelated",0.284509618202012,0.213
"private-rat","unrelated",0.392636888616658,0.045
"gas-fuel","related",0.596234844054188,0.875
"dynasty-empire","related",0.546626823865479,0.822
"sometimes-often","related",0.68809926630319,0.759
"firmly-emotional","unrelated",0.272493351617625,0.245
"flee-escape","related",0.519992891662367,0.874
"support-sail","unrelated",0.303854174434175,0.2
"heat-corporation","unrelated",0.136321105468781,0.12
"forgiveness-mercy","related",0.511236703991824,0.823
"naturally-billion","unrelated",0.270350873792903,0.045
"exit-entrance","related",0.476739362052853,0.789
"library-cheap","unrelated",0.332581950573746,0.112
"short-massage","unrelated",0.215454174027376,0.344
"glass-stupid","unrelated",0.233189680664031,0.001
"camp-village","related",0.351266573215419,0.65
"attention-attract","related",0.391904832508658,0.654
"engineer-voter","unrelated",0.240131144616849,0.123
"influence-triple","unrelated",0.217214040824832,0.2
"project-program","related",0.608785386016206,0.847
"ambulance-strawberry","unrelated",0.213875435171094,0.05
"congratulate-greet","related",0.551083712036377,0.742
"physics-walk","unrelated",0.229607302667251,0.102
"man-human","related",0.704880698899679,0.917
"back-return","related",0.555113333368815,0.45
"lemonade-gentle","unrelated",0.194961886262238,0.205
"explanation-glory","unrelated",0.26494550915083,0.145
"sheriff-mayor","related",0.41840110391497,0.62
"lower-upper","related",0.503484652389502,0.742
"mail-fax","related",0.547897955961687,0.742
"turn-patrol","unrelated",0.298518446971614,0.2
"birth-still","unrelated",0.266806137514686,0.2
"desk-steel","unrelated",0.306059890600085,0.245
"property-heavenly","unrelated",0.288655508434177,0.201
"sunset-dawn","related",0.49868141777443,0.837
"lip-cheek","related",0.449693821845826,0.785
"pump-assist","unrelated",0.321567654293883,0.207
"normally-dream","unrelated",0.331227120171825,0.347
"fool-store","unrelated",0.224855654411484,0.102
"absolutely-rob","unrelated",0.187501701916253,0.001
"agent-western","unrelated",0.288211486881808,0.205
"vagina-division","unrelated",0.289936969543271,0.045
"ufo-alien","related",0.447246335799018,0.85
"exit-liar","unrelated",0.233659240506692,0.1
"secretary-artificial","unrelated",0.207859317707367,0.2
"future-chew","unrelated",0.197823496362724,0.045
"sword-individual","unrelated",0.246530244035747,0.21
"rifle-letter","unrelated",0.234239570544474,0.05
"nest-last","unrelated",0.441632697468528,0.104
"clearly-obviously","related",0.766057593792876,0.826
"lasagna-path","unrelated",0.25641180759362,0.045
"deserve-specialist","unrelated",0.270601745718182,0.145
"snail-turtle","related",0.459772202507706,0.725
"coffin-funeral","related",0.540450218839377,0.872
"seminar-lecture","related",0.436160264435215,0.845
"dna-fingerprint","related",0.318012693477242,0.765
