"pair","type","cosine_similarity","prompt_similarity"
"paradise-father","unrelated",0.252689946495681,0.1
"spring-autumn","related",0.463704301219077,0.8
"fidelity-devotion","related",0.55920406193121,0.85
"bridge-tunnel","related",0.449548893046497,0.6
"excellent-band","unrelated",0.237818029869678,0.112
"embassy-ministry","related",0.418993989263789,0.654
"blanket-justice","unrelated",0.210455995649053,0.01
"stadium-baseball","related",0.366956026474593,0.684
"tattoo-minus","unrelated",0.178231430706687,0
"tobacco-cigarette","related",0.621064200776838,0.9
"train-triangle","unrelated",0.37663933526493,0.05
"lower-dusty","unrelated",0.242011773234487,0
"reality-tree","unrelated",0.257228650029491,0.1
"unreasonable-irresponsible","related",0.46945279773717,0.8
"millionaire-element","unrelated",0.226153469792694,0.061
"worm-snake","related",0.5549614788566,0.674
"double-triple","related",0.560368187900196,0.811
"article-newspaper","related",0.462984379446258,0.75
"wind-storm","related",0.54222826998574,0.841
"tablet-fuel","unrelated",0.289113954287798,0.1
"sunset-thank","unrelated",0.296774432053856,0
"queen-soda","unrelated",0.181375921924686,0.05
"detonator-timer","related",0.35943523514593,0.682
"make-servant","unrelated",0.270821170451541,0.046
"object-comedy","unrelated",0.292971941748033,0.125
"direct-jewel","unrelated",0.209145317064162,0.15
"modern-plate","unrelated",0.236631398569943,0.123
"heritage-july","unrelated",0.182924396232278,0.2
"auction-theory","unrelated",0.266949142719766,0.1
"conclusion-assumption","related",0.426720313603527,0.654
"conversation-forest","unrelated",0.330305990350037,0.062
"singer-musician","related",0.653420401325092,0.9
"nice-judge","unrelated",0.273072676480114,0.2
"angel-baseball","unrelated",0.205889302499695,0.05
"stress-cat","unrelated",0.231083910217179,0.045
"impressive-murder","unrelated",0.207994961168656,0
"inability-missile","unrelated",0.182382299295066,0
"low-confess","unrelated",0.20510301057869,0.1
"bay-loan","unrelated",0.278890417045462,0.05
"pork-departure","unrelated",0.228701403811181,0
"cable-confusion","unrelated",0.190115482665488,0.1
"ass-official","unrelated",0.370577038441451,0
"dvd-that","unrelated",0.265606400177389,0
"brutal-cruel","related",0.627170887669682,0.9
"protect-defend","related",0.595991202965775,0.8
"sensational-maintain","unrelated",0.10023867458929,0
"allow-let","related",0.599650661764642,0.9
"midnight-send","unrelated",0.220829700321183,0
"hunting-collapse","unrelated",0.275565417305408,0.1
"circle-lovely","unrelated",0.328564973339502,0
"monk-elegant","unrelated",0.238673457564788,0.112
"quantity-quality","related",0.501220080699342,0.487
"prey-ugly","unrelated",0.228003300832305,0
"hobby-sport","related",0.479035005215665,0.742
"underestimate-microphone","unrelated",0.184962863621327,0
"urgent-emergency","related",0.673033099114954,0.9
"command-order","related",0.620745362132304,0.854
"original-copy","related",0.423115403091694,0.789
